username,date_of_election,isSuccessful,votes,edit_count,year_joined,pages_created
PopMusicWillNeverBeLowBrow,2010-04-13 21:51:00,0,0,5,2010,0
Porchcrop,2010-11-08 07:39:00,0,0,0,2011,0
ProcEnforce,2010-07-20 20:13:00,0,0,1562,2009,28
Raaggio,2010-04-08 03:36:00,0,0,2,2010,0
Rami R,2010-03-02 11:17:00,0,0,5732,2006,21
RandomStringOfCharacters,2010-02-02 09:52:00,0,0,4707,2009,12
Redthoreau,2010-11-03 21:38:00,0,0,22197,2007,37
Reenem,2010-01-25 05:51:00,0,0,29553,2008,111
Rehman,2010-01-18 16:09:00,0,0,13597,2008,253
Richardcavell,2010-10-01 12:08:00,0,0,15362,2005,865
Richwales,2010-12-11 05:50:00,0,0,15175,2005,29
rp0211,2010-05-30 00:18:00,0,0,6416,2009,8
S1312,2010-08-03 14:43:00,0,0,860,2010,4
S Marshall,2010-05-25 13:24:00,0,0,21060,2006,194
Sam Blacketer,2010-01-03 14:57:00,0,0,24521,2006,480
Saverx,2010-08-11 13:35:00,0,0,331,2007,3
ShawnIsHere,2010-05-11 10:35:00,0,0,425,2007,2
Silver seren,2010-09-29 04:43:00,0,0,25482,2006,84
SJK,2010-03-10 12:57:00,0,0,2766,2001,205
Slon02,2010-05-30 23:00:00,0,0,22045,2009,4
SMcCandlish,2010-01-20 23:21:00,0,0,103458,2005,1474
SyedNaqvi90,2010-04-29 02:48:00,0,0,2426,2007,4
T,2010-08-29 21:31:00,0,0,4392,2005,128
TEK,2010-07-16 18:18:00,0,0,0,2010,0
Terrasidius,2010-08-31 01:47:00,0,0,5646,2005,87
The Arbiter,2010-11-28 23:45:00,0,0,2780,2009,5
The High Fin Sperm Whale,2010-03-14 00:25:00,0,0,16987,2008,198
The Thing That Should Not Be,2010-02-08 07:47:00,0,0,167531,2007,4
The Utahraptor,2010-06-25 16:31:00,0,0,17169,2009,11
