@relation ../Data/13_accounts

@attribute votes numeric
@attribute accounts numeric
@attribute draft_talk_edits numeric
@attribute sp_keep_votes numeric
@attribute draft_edits numeric
@attribute category_talk_edits numeric
@attribute user_talk_edits numeric
@attribute userfy_votes numeric
@attribute days_active numeric
@attribute file_edits numeric
@attribute talk_edits numeric
@attribute article_edits numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute wikipedia_edits numeric
@attribute file_talk_edits numeric
@attribute merge_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1, 0}
@attribute keep_votes numeric
@attribute category_edits numeric
@attribute template_edits numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric
@attribute wikipedia_talk_edits numeric
@attribute user_edits numeric
@attribute template_talk_edits numeric
@attribute total_edits numeric


@data
0 , 17 , 0 , 0 , 0 , 0 , 321 , 0 , 1837 , 15 , 363 , 1810 , 0 , 7 , 0 , 147 , 0 , 0 , 26 , 0 , 3 , 0 , 12 , 0 , 4 , 2 , 195 , 3 , 2868
0 , 28 , 0 , 1 , 0 , 0 , 1023 , 0 , 3291 , 182 , 3363 , 7279 , 11 , 90 , 0 , 1837 , 12 , 10 , 904 , 0 , 17 , 63 , 449 , 3 , 48 , 723 , 438 , 224 , 15593
0 , 16 , 0 , 0 , 0 , 0 , 523 , 0 , 864 , 0 , 414 , 2078 , 0 , 13 , 0 , 127 , 0 , 0 , 2 , 0 , 6 , 0 , 0 , 0 , 7 , 3 , 0 , 16 , 3161
42 , 38 , 0 , 0 , 2 , 1 , 1305 , 0 , 2579 , 8 , 579 , 2086 , 2 , 185 , 0 , 2601 , 0 , 7 , 45 , 0 , 29 , 42 , 96 , 0 , 147 , 1934 , 131 , 54 , 8839
0 , 19 , 0 , 0 , 0 , 0 , 182 , 0 , 751 , 239 , 71 , 888 , 0 , 0 , 0 , 11 , 23 , 0 , 25 , 0 , 0 , 0 , 9 , 0 , 0 , 32 , 107 , 0 , 1562
3 , 24 , 0 , 0 , 0 , 0 , 1151 , 0 , 1561 , 100 , 1465 , 4841 , 0 , 7 , 0 , 1022 , 1 , 0 , 66 , 0 , 2 , 58 , 432 , 0 , 5 , 178 , 1797 , 34 , 11079
1 , 16 , 0 , 0 , 1 , 0 , 1622 , 0 , 85 , 0 , 47 , 1220 , 0 , 21 , 0 , 265 , 0 , 0 , 1 , 0 , 4 , 0 , 2 , 1 , 16 , 12 , 137 , 1 , 3307
0 , 18 , 0 , 0 , 0 , 0 , 33 , 0 , 1135 , 0 , 3 , 16 , 0 , 9 , 0 , 81 , 0 , 0 , 4 , 0 , 1 , 0 , 2 , 1 , 7 , 6 , 102 , 0 , 243
14 , 652 , 0 , 0 , 15 , 1 , 2089 , 0 , 1877 , 28 , 195 , 1584 , 0 , 83 , 0 , 536 , 7 , 0 , 158 , 0 , 0 , 12 , 81 , 0 , 83 , 27 , 284 , 15 , 4874
0 , 11 , 0 , 0 , 0 , 0 , 31 , 0 , 37 , 5 , 4 , 40 , 0 , 1 , 0 , 21 , 0 , 0 , 1 , 0 , 1 , 0 , 6 , 0 , 0 , 0 , 19 , 0 , 126
0 , 14 , 0 , 0 , 0 , 0 , 44 , 0 , 453 , 0 , 44 , 164 , 0 , 2 , 0 , 16 , 0 , 0 , 6 , 0 , 1 , 0 , 4 , 0 , 1 , 1 , 20 , 0 , 293
1 , 76 , 0 , 0 , 0 , 8 , 1677 , 0 , 904 , 374 , 1954 , 12156 , 12 , 65 , 0 , 673 , 8 , 2 , 144 , 0 , 26 , 29 , 85 , 0 , 25 , 92 , 613 , 7 , 17676
0 , 63 , 1 , 0 , 11 , 17 , 7705 , 0 , 1902 , 272 , 7546 , 34913 , 0 , 128 , 0 , 4641 , 160 , 3 , 2067 , 0 , 87 , 1201 , 1622 , 0 , 38 , 1092 , 1537 , 468 , 61186
0 , 14 , 0 , 0 , 0 , 5448 , 684 , 0 , 1894 , 7 , 41516 , 955 , 1 , 36 , 0 , 951 , 597 , 1 , 10 , 0 , 11 , 429 , 179 , 0 , 23 , 1116 , 57 , 1015 , 52954
30 , 19 , 0 , 1 , 0 , 0 , 606 , 0 , 532 , 1 , 259 , 1669 , 1 , 97 , 1 , 902 , 0 , 6 , 55 , 0 , 38 , 0 , 207 , 0 , 50 , 443 , 124 , 63 , 4274
11 , 19 , 0 , 0 , 0 , 1 , 6748 , 0 , 1639 , 17 , 226 , 6077 , 1 , 39 , 0 , 1508 , 0 , 1 , 22 , 0 , 3 , 2 , 22 , 1 , 33 , 64 , 1732 , 2 , 16399
17 , 128 , 0 , 2 , 8 , 11 , 1251 , 0 , 1473 , 62 , 873 , 3116 , 1 , 74 , 0 , 727 , 37 , 1 , 262 , 0 , 19 , 31 , 519 , 2 , 49 , 284 , 252 , 119 , 7290
0 , 1 , 0 , 0 , 0 , 0 , 9 , 0 , 39 , 0 , 0 , 10 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 29
1 , 101 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
251 , 29 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3
78 , 72 , 0 , 0 , 0 , 0 , 5850 , 0 , 1114 , 83 , 390 , 5548 , 2 , 21 , 0 , 1466 , 1 , 1 , 11 , 0 , 5 , 0 , 221 , 1 , 12 , 207 , 2592 , 21 , 16379
44 , 9 , 0 , 0 , 2 , 82 , 8664 , 0 , 2865 , 20 , 9101 , 22645 , 1 , 183 , 0 , 5634 , 2 , 16 , 938 , 0 , 15 , 114 , 142 , 1 , 150 , 1229 , 848 , 80 , 48563
11 , 3 , 0 , 0 , 0 , 0 , 167 , 0 , 706 , 0 , 3 , 12 , 0 , 1 , 0 , 130 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 24 , 24 , 7 , 367
6 , 35 , 0 , 0 , 0 , 0 , 0 , 0 , 850 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
0 , 41 , 0 , 0 , 18 , 3 , 6766 , 1 , 518 , 404 , 4251 , 54113 , 0 , 5 , 0 , 13737 , 24 , 2 , 327 , 0 , 2 , 20 , 652 , 0 , 0 , 1095 , 851 , 193 , 82127
0 , 90 , 0 , 1 , 0 , 0 , 1842 , 0 , 510 , 3 , 1226 , 1238 , 0 , 5 , 0 , 913 , 0 , 0 , 88 , 0 , 2 , 0 , 105 , 0 , 2 , 622 , 335 , 7 , 6291
0 , 17 , 0 , 0 , 0 , 0 , 16 , 0 , 706 , 1 , 12 , 144 , 0 , 0 , 0 , 8 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 42 , 0 , 224
24 , 31 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
71 , 22 , 0 , 0 , 3 , 2 , 5685 , 0 , 383 , 27 , 221 , 12042 , 0 , 7 , 0 , 741 , 2 , 0 , 68 , 0 , 2 , 5 , 43 , 0 , 5 , 74 , 1374 , 9 , 20228
