@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R1-3,5-12,14-17,21-26,29-30,32-34,36-41'

@attribute sp_keep_votes numeric
@attribute userfy_votes numeric
@attribute redirect_votes numeric
@attribute total_afd_votes numeric
@attribute transwiki_votes numeric
@attribute isSuccessful {1,0}
@attribute keep_votes numeric
@attribute sp_delete_votes numeric
@attribute delete_votes numeric

@data
0,0,2,178,0,1,31,6,135
0,0,4,191,1,1,35,22,124
2,0,8,72,0,1,14,0,34
2,0,17,177,2,1,24,6,122
0,0,4,146,0,1,29,2,97
3,0,18,175,0,1,58,7,83
1,0,1,78,0,1,3,2,71
0,0,1,118,0,1,8,1,107
1,2,15,150,0,1,60,4,40
0,0,4,74,0,1,8,1,59
1,0,5,59,0,1,18,2,28
1,1,1,178,1,1,35,2,127
0,0,2,18,0,1,11,0,5
0,0,0,33,0,1,4,2,27
0,0,1,54,0,1,12,0,39
0,0,2,22,0,1,2,1,14
0,0,0,0,0,1,0,0,0
0,0,1,11,0,1,5,0,3
1,0,0,19,0,1,8,0,9
0,0,3,84,0,1,61,0,19
0,0,0,88,2,1,10,1,61
0,0,0,45,0,1,10,1,31
0,0,0,0,0,1,0,0,0
0,0,7,106,0,1,10,4,81
0,0,1,67,0,1,24,3,37
0,0,0,20,0,1,4,0,15
0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,2
0,0,0,1,0,0,1,0,0
0,0,0,144,0,0,13,14,117
0,0,0,1,0,0,0,0,1
0,0,0,4,0,0,0,0,4
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1
2,0,0,142,1,0,47,1,87
0,0,0,4,0,0,3,0,1
1,0,0,90,0,0,16,2,67
0,0,1,32,0,0,6,2,23
7,0,2,166,2,0,35,2,115
2,0,1,121,0,0,19,1,95
0,0,0,0,0,0,0,0,0
0,0,0,26,0,0,5,4,17
0,0,0,0,0,0,0,0,0
0,0,1,23,0,0,3,0,17
0,0,0,3,0,0,0,0,3
0,0,0,1,0,0,0,0,1
0,0,0,17,1,0,3,2,10
0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,2,0,0
1,0,0,11,0,0,5,0,4
0,0,2,36,0,0,2,2,28
0,0,0,5,0,0,3,0,2
0,0,0,1,0,0,1,0,0
0,0,0,6,0,0,4,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0
0,0,0,4,0,0,0,0,4
0,0,0,1,0,0,0,0,1
4,0,5,178,1,0,37,1,124
0,0,4,164,3,0,34,1,113
0,0,0,6,0,0,2,0,4
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,6,162,0,0,37,16,97
0,0,0,1,0,0,0,0,1
0,0,1,20,0,0,7,0,12
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,1
0,0,0,15,0,0,1,1,13
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1
0,0,1,55,0,0,9,3,40
0,0,0,25,0,0,7,1,16
0,0,0,0,0,0,0,0,0
1,0,0,27,0,0,12,3,10
0,0,2,36,0,0,10,2,20
0,0,0,3,0,0,2,0,1
0,0,0,88,0,0,4,0,84
0,0,0,0,0,0,0,0,0
0,0,1,27,0,0,5,2,19
0,0,0,0,0,0,0,0,0
3,1,3,174,0,0,70,0,89
0,0,0,0,0,0,0,0,0
0,0,0,16,0,0,8,0,6
0,0,13,178,1,0,31,7,113
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,17,0,0,0,2,15
0,0,1,13,0,1,9,0,1
0,0,0,4,0,1,4,0,0
0,0,0,12,0,1,2,0,10
0,0,0,1,0,0,1,0,0
1,0,0,10,0,0,2,1,6
1,0,6,93,0,0,28,4,52
0,0,0,15,0,0,0,0,15
0,0,0,2,0,0,0,0,2
0,0,0,0,0,0,0,0,0
1,0,1,56,0,0,9,0,43
0,2,5,112,0,0,20,1,65
1,0,0,15,0,0,2,1,10
0,0,0,181,0,0,171,0,4
1,0,2,196,0,0,86,0,89
1,0,2,196,0,0,86,0,89
0,0,1,5,0,0,2,0,2
4,0,2,177,0,0,21,6,140
0,0,0,4,0,0,0,0,4
0,0,0,29,0,0,4,0,24
0,0,5,188,0,0,9,7,167
0,0,0,5,0,0,0,0,5
0,1,5,167,1,0,40,2,106
