@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R2-11,13-26,28-32,34-40'

@attribute revert_edits numeric
@attribute minor_edits numeric
@attribute isSuccessful {1,0}
@attribute nonminor_edits numeric
@attribute large_edits numeric

@data
18,287,1,16570,5914
11,57,1,640,154
2359,3188,1,9614,1649
81,460,1,9040,814
134,2879,1,7558,2595
112,1201,1,3384,820
1669,8993,1,21201,4372
345,3911,1,5780,1518
80,1159,1,3764,847
71,866,1,4290,1496
343,6857,1,10437,6641
197,1654,1,4125,1217
259,6748,1,15113,2358
75,24038,1,3664,2828
594,1131,1,4635,843
205,5034,1,6482,3329
289,1777,1,6299,1495
430,11632,1,28714,3400
321,50329,1,16119,509
149,1765,1,2605,1122
42,20084,1,5046,1401
0,0,1,0,0
16278,2195,1,31871,5321
233,7918,1,15164,4491
55,7619,1,28043,8033
0,1,0,690,16
7,16,0,120,24
134,309,0,1998,177
404,162,0,5533,1343
0,1,0,9,2
37,999,0,1888,556
246,18,0,1358,134
7,1595,0,1830,504
0,0,0,0,0
0,0,0,6,2
20,323,0,4928,875
21,3053,0,6296,1539
0,23,0,190,18
26,599,0,1133,152
174,609,0,1524,465
4,2055,0,5495,375
31,500,0,3514,726
103,141,0,3515,655
0,83,0,139,23
78,417,0,2962,453
0,51,0,165,6
0,0,0,75,1
131,373,0,1159,280
0,1685,0,86,32
7,58,0,738,129
0,35,0,146,34
9,520,0,1408,388
2,0,0,6,0
25,661,0,3532,493
0,0,0,33,6
0,37,0,91,7
0,0,0,30,6
0,0,0,15,1
0,405,0,282,36
0,2,0,150,43
16,1499,0,487,52
0,2088,0,3488,685
42,231,0,4330,517
325,666,0,4823,1003
3,967,0,497,103
3,49,0,38,14
66,829,0,6056,1839
93,159,0,5804,4878
167,3324,0,10035,1043
12,267,0,1101,123
15,121,0,239,15
7,2811,0,1694,338
3,455,0,468,55
0,31,0,574,21
2,43,0,1917,221
80,1609,0,1276,292
0,0,0,21,1
3,284,0,263,20
6,4,0,314,23
64,717,0,3406,591
0,244,0,11,2
18,1227,0,1358,347
15,1692,0,2821,686
28,439,0,5617,1428
287,605,0,1587,80
0,9,0,447,42
10,1186,0,2951,575
76,308,0,3301,410
9,67,0,1570,107
2,22,0,184,96
63,2540,0,399,169
22,843,0,2253,146
27,675,0,1281,85
1,13960,0,132,10
0,106,0,57,14
0,0,0,0,0
0,3,0,77,8
1,58,0,144,19
95,81,0,1125,108
287,743,0,3052,636
0,8,0,1158,40
7,466,0,1090,246
21,303,0,1618,169
0,18,0,64,7
6,3538,0,1468,285
7,167,0,910,150
0,2,0,23,5
163,121,0,12497,1333
32,311,0,1618,264
0,88,0,209,18
3,498,0,738,118
619,294,0,2196,446
0,1,0,66,1
0,1,0,72,17
0,0,0,0,0
3,238,0,227,35
6,30,0,100,7
3,312,0,3339,274
0,13,0,71,3
1,2463,0,128,16
39,1588,0,3476,1744
1,15,0,1434,164
115,1172,0,1039,130
12,304,0,374,130
3,80,0,622,70
0,0,1,0,0
593,16411,1,21551,8645
353,15334,1,3711,475
1839,7035,1,21929,4257
250,4074,1,5500,2932
1,287,1,3767,813
47,2464,1,3965,1309
857,3492,1,10578,1350
137,6725,1,10855,2441
2213,7785,1,8359,1757
1384,12074,1,8126,1705
162,836,1,5887,1422
5,32,0,481,145
1033,4347,0,8532,1855
0,0,0,419,40
12,74,0,1322,135
0,0,0,9,2
0,0,0,0,0
10,79,0,515,78
0,0,0,16,4
6,5596,0,3958,515
18,1567,0,2647,831
0,43,0,4504,382
0,0,0,2,1
1,818,0,3967,631
34,3425,0,5969,1402
185,3216,0,6856,1406
2,987,0,176,32
3,110,0,578,156
1,358,0,649,76
272,760,0,31132,7137
44,1270,0,1597,117
1,338,0,206,47
20,305,0,2603,399
86,5935,0,4719,1842
234,345,0,641,47
0,0,0,61,12
3,627,0,302,37
90,170,0,2658,886
0,0,0,13,3
0,1,0,6,1
213,2090,0,2611,850
0,10,0,965,103
1,914,0,4552,1854
0,267,0,201,29
14,531,0,572,101
0,170,0,3,2
0,6,0,31,5
0,1,0,12,3
0,437,0,1066,307
45,2370,0,6343,809
1,4,0,134,16
17,2101,0,3638,777
0,0,0,0,0
326,486,0,2842,1101
210,1685,0,806,112
155,576,0,2724,358
25,331,0,1941,342
17,166,0,2876,704
0,245,0,595,51
86,2017,0,12489,973
0,0,0,6,1
138,576,0,21943,2632
9,44,0,359,72
29,908,0,2372,470
3,108,0,544,67
