@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R1,3-7,9-13,15-18,20-25,28-31,33-35,37-39,41'

@attribute accounts numeric
@attribute votes numeric
@attribute days_active numeric
@attribute total_afd_votes numeric
@attribute pages_created numeric
@attribute isSuccessful {1,0}
@attribute edits_per_day numeric
@attribute images_uploaded numeric
@attribute total_edits numeric

@data
4,0,1235,56,43,1,0.9,1,1208
3,0,409,131,57,1,5.8,1,2400
1,37,901,66,15,1,0.8,0,798
27,52,1645,41,130,1,4.4,22,7381
27,4,74,0,0,1,0,0,0
35,184,612,5,132,1,21,0,13215
10,1,865,77,40,1,3.5,0,3098
6,28,784,78,15,1,3.8,3,3053
12,0,963,18,720,1,9.3,1,8956
3,0,500,58,62,1,7.6,8,3805
3,6,583,88,5,1,12,0,7566
10,24,752,162,58,1,6.7,21,5072
27,8,309,7,45,1,134,16,41607
32,18,2076,4,65,1,14,2,29880
42,45,496,90,22,1,13,0,6787
162,102,1614,77,144,1,5.1,3,8302
29,56,759,102,47,1,17,3,13167
1,31,1552,128,28,1,0.4,0,673
33,5,854,29,5,1,14,2,12606
22,7,1817,117,40,1,0.6,0,1181
49,0,1201,187,5075,1,13,1,16173
74,9,823,32,225,1,14,34,12095
47,0,1709,40,669,1,24,0,42677
60,48,0,0,0,1,0,0,0
106,7,298,141,70,1,68,19,20319
6,4,362,11,104,1,22,0,8175
2,0,247,149,38,1,8.5,14,2124
2,23,657,187,17,1,12,3,8072
20,3,1010,4,33,1,2.5,24,2530
1,49,307,178,1,1,38,2,11747
1,29,600,191,13,1,1.1,1,709
2,2,399,72,642,1,23,1,9387
1,0,365,177,25,1,13,0,4940
1,13,586,146,25,1,4.9,0,2897
3,46,423,175,96,1,7.4,0,3163
3,3,534,78,13,1,11,0,5935
10,50,582,118,334,1,16,3,9433
6,0,798,150,2254,1,2.2,18,1781
2,11,365,74,74,1,7.5,0,2741
3,18,412,59,80,1,6.8,31,2828
1,0,1038,178,6,1,1,0,1069
1,1,603,18,33,1,4.3,1,2650
4,25,729,33,12,1,26,0,19491
4,109,120,54,18,1,51,1,6143
15,10,380,22,35,1,12,0,4725
0,5,47,0,2,1,0,0,0
2,0,1008,11,12,1,2.3,0,2341
4,1,448,19,321,1,7.4,46,3327
4,0,144,84,73,1,21,0,3028
1,9,400,88,16,1,20,0,8396
1,27,224,45,81,1,27,0,6095
13,12,780,0,26,1,29,0,22653
1,29,176,106,12,1,6,2,1061
3,7,379,67,104,1,3.3,1,1265
57,1,341,20,118,1,14,0,4953
1,0,605,0,55,0,0.9,5,584
1,1,150,2,2,0,5,1,762
1,0,976,1,2,0,0.3,0,315
1,7,148,144,55,0,33,0,4898
2,0,247,1,21,0,9.6,1,2384
1,0,422,4,0,0,0.2,0,110
1,2,146,0,3,0,3.7,0,541
1,0,220,1,1,0,1.5,0,340
1,24,567,142,21,0,5.2,3,2990
7,1,663,4,7,0,1.2,0,852
13,76,608,90,246,0,3.3,20,2057
1,2,199,32,3,0,8.9,0,1782
1,99,149,166,10,0,13,1,2083
2,13,145,121,97,0,34,3,5053
1,11,35,0,0,0,0,0,0
1,0,84,26,2,0,11,1,969
1,0,197,0,2,0,0.4,4,80
